strategy,start,end,days,key
Sub-A-DK,2012-01-10,2012-01-16,5,SZ50/CYB_1
Sub-A-DK,2012-02-06,2012-02-06,1,SZ50/CYB_1
Sub-A-DK,2012-02-07,2012-02-07,1,ZZ500/CYB_1
Sub-A-DK,2012-02-08,2012-02-10,3,ZZ1000/CYB_1
Sub-A-DK,2012-02-13,2012-02-15,3,SZ50/ZZ1000_-1
Sub-A-DK,2012-02-16,2012-03-27,29,SZ50/CYB_-1
Sub-A-DK,2012-03-30,2012-03-30,1,ZZ500/CYB_-1
Sub-A-DK,2012-04-05,2012-04-06,2,SZ50/ZZ500_1
Sub-A-DK,2012-04-09,2012-04-13,5,SZ50/ZZ1000_1
Sub-A-DK,2012-04-16,2012-05-11,18,SZ50/CYB_1
Sub-A-DK,2012-05-14,2012-05-16,3,SZ50/ZZ1000_1
Sub-A-DK,2012-05-17,2012-05-22,4,ZZ1000/CYB_-1
Sub-A-DK,2012-05-23,2012-05-25,3,SZ50/CYB_-1
Sub-A-DK,2012-05-28,2012-06-04,6,HS300/CYB_-1
Sub-A-DK,2012-06-05,2012-06-13,7,ZZ1000/CYB_-1
Sub-A-DK,2012-06-14,2012-06-25,7,SZ50/CYB_-1
Sub-A-DK,2012-06-26,2012-07-06,9,HS300/CYB_-1
Sub-A-DK,2012-07-09,2012-07-16,6,ZZ500/CYB_-1
Sub-A-DK,2012-07-17,2012-07-18,2,HS300/ZZ500_1
Sub-A-DK,2012-07-19,2012-07-19,1,HS300/ZZ1000_1
Sub-A-DK,2012-07-20,2012-07-31,8,HS300/CYB_1
Sub-A-DK,2012-08-01,2012-08-07,5,SZ50/CYB_1
Sub-A-DK,2012-08-08,2012-08-09,2,SZ50/ZZ500_1
Sub-A-DK,2012-08-10,2012-08-16,5,HS300/CYB_-1
Sub-A-DK,2012-08-17,2012-08-17,1,HS300/ZZ1000_-1
Sub-A-DK,2012-08-20,2012-08-29,8,SZ50/ZZ1000_-1
Sub-A-DK,2012-08-30,2012-09-12,10,HS300/ZZ1000_-1
Sub-A-DK,2012-09-13,2012-09-14,2,ZZ1000/CYB_1
Sub-A-DK,2012-09-17,2012-09-25,7,ZZ500/CYB_1
Sub-A-DK,2012-09-26,2012-09-27,2,HS300/CYB_1
Sub-A-DK,2012-09-28,2012-10-18,10,SZ50/CYB_1
Sub-A-DK,2012-10-19,2012-10-25,5,HS300/CYB_1
Sub-A-DK,2012-10-30,2012-10-31,2,SZ50/ZZ500_-1
Sub-A-DK,2012-11-01,2012-11-01,1,ZZ500/CYB_1
Sub-A-DK,2012-11-02,2012-11-05,2,HS300/CYB_1
Sub-A-DK,2012-11-06,2012-11-19,10,SZ50/CYB_1
Sub-A-DK,2012-11-20,2012-11-21,2,SZ50/ZZ1000_1
Sub-A-DK,2012-11-22,2012-11-29,6,SZ50/ZZ500_1
Sub-A-DK,2012-11-30,2012-12-19,14,SZ50/ZZ1000_1
Sub-A-DK,2012-12-20,2012-12-21,2,SZ50/CYB_1
Sub-A-DK,2012-12-24,2012-12-24,1,HS300/ZZ500_-1
Sub-A-DK,2012-12-25,2012-12-26,2,HS300/ZZ1000_-1
Sub-A-DK,2012-12-27,2012-12-27,1,HS300/CYB_-1
Sub-A-DK,2012-12-28,2013-01-31,22,SZ50/CYB_-1
Sub-A-DK,2013-02-04,2013-02-04,1,ZZ1000/CYB_-1
Sub-A-DK,2013-02-05,2013-02-06,2,SZ50/ZZ1000_1
Sub-A-DK,2013-02-07,2013-02-08,2,SZ50/CYB_1
Sub-A-DK,2013-02-18,2013-02-20,3,SZ50/ZZ1000_1
Sub-A-DK,2013-02-21,2013-02-21,1,ZZ500/ZZ1000_1
Sub-A-DK,2013-02-22,2013-03-14,15,SZ50/CYB_-1
Sub-A-DK,2013-03-19,2013-03-20,2,SZ50/ZZ1000_-1
Sub-A-DK,2013-03-21,2013-04-10,13,HS300/CYB_1
Sub-A-DK,2013-04-11,2013-04-15,3,ZZ500/CYB_1
Sub-A-DK,2013-04-16,2013-04-22,5,HS300/CYB_1
Sub-A-DK,2013-04-23,2013-04-23,1,SZ50/CYB_1
Sub-A-DK,2013-04-24,2013-04-25,2,SZ50/ZZ1000_1
Sub-A-DK,2013-04-26,2013-05-03,3,ZZ1000/CYB_-1
Sub-A-DK,2013-05-06,2013-05-13,6,ZZ500/CYB_-1
Sub-A-DK,2013-05-14,2013-05-17,4,HS300/CYB_-1
Sub-A-DK,2013-05-20,2013-05-23,4,SZ50/CYB_-1
Sub-A-DK,2013-05-24,2013-05-28,3,SZ50/ZZ1000_-1
Sub-A-DK,2013-05-29,2013-05-31,3,SZ50/ZZ500_-1
Sub-A-DK,2013-06-03,2013-06-17,8,ZZ500/CYB_1
Sub-A-DK,2013-06-18,2013-06-18,1,HS300/ZZ500_-1
Sub-A-DK,2013-06-19,2013-07-01,9,HS300/CYB_-1
Sub-A-DK,2013-07-02,2013-07-03,2,SZ50/CYB_-1
Sub-A-DK,2013-07-09,2013-07-10,2,SZ50/CYB_-1
Sub-A-DK,2013-07-12,2013-07-12,1,ZZ1000/CYB_-1
Sub-A-DK,2013-07-15,2013-07-18,4,HS300/ZZ1000_1
Sub-A-DK,2013-07-19,2013-07-19,1,HS300/CYB_1
Sub-A-DK,2013-07-22,2013-07-25,4,ZZ500/CYB_1
Sub-A-DK,2013-07-26,2013-07-31,4,ZZ1000/CYB_1
Sub-A-DK,2013-08-01,2013-08-07,5,SZ50/ZZ1000_-1
Sub-A-DK,2013-08-08,2013-08-09,2,ZZ1000/CYB_1
Sub-A-DK,2013-08-12,2013-08-13,2,HS300/CYB_1
Sub-A-DK,2013-08-14,2013-09-02,14,SZ50/CYB_1
Sub-A-DK,2013-09-09,2013-09-09,1,SZ50/HS300_1
Sub-A-DK,2013-09-10,2013-09-26,11,SZ50/CYB_1
Sub-A-DK,2013-09-27,2013-09-30,2,SZ50/ZZ1000_1
Sub-A-DK,2013-10-08,2013-10-08,1,ZZ1000/CYB_-1
Sub-A-DK,2013-10-09,2013-10-21,9,SZ50/CYB_-1
Sub-A-DK,2013-10-22,2013-10-24,3,SZ50/ZZ500_-1
Sub-A-DK,2013-10-25,2013-10-28,2,ZZ500/CYB_1
Sub-A-DK,2013-10-29,2013-10-29,1,HS300/CYB_1
Sub-A-DK,2013-10-30,2013-11-15,13,SZ50/CYB_1
Sub-A-DK,2013-11-19,2013-11-21,3,SZ50/ZZ500_1
Sub-A-DK,2013-11-22,2013-11-27,4,SZ50/ZZ1000_-1
Sub-A-DK,2013-11-28,2013-12-02,3,SZ50/CYB_-1
Sub-A-DK,2013-12-03,2013-12-04,2,SZ50/ZZ1000_-1
Sub-A-DK,2013-12-05,2013-12-19,11,ZZ500/CYB_1
Sub-A-DK,2013-12-23,2013-12-24,2,SZ50/ZZ500_-1
Sub-A-DK,2013-12-25,2014-01-08,10,SZ50/CYB_-1
Sub-A-DK,2014-01-09,2014-01-24,12,HS300/CYB_-1
Sub-A-DK,2014-01-27,2014-02-10,6,SZ50/CYB_-1
