date,return,nav,top_pair,direction,holding,pair_a,pair_b,long_leg,short_leg,pair_changed,direction_changed,is_signal,target,weight,scale_raw,realized_vol,return_before_dk_execution_cost,dk_execution_turnover,dk_execution_cost,actual_position,actual_direction,scale_rebalanced,raw_return,return_before_dk_overlay,dk_overlay_execution_cost,base_weight,active_score_overlay,overlay_scale,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_overheat_return,return_before_dk_overheat,pre_overheat_weight,same_side_overheat_abs_bias,same_side_overheat_signal,same_side_overheat_scale,same_side_overheat_on,same_side_overheat_triggered,same_side_overheat_recovered,same_side_overheat_tc,dk_total_overlay_scale,risk_gate_scale,risk_gate_on,risk_gate_base_dd
2012-06-20,0.002868439405025347,1.538439238960095,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,1.5,1.5,0.11867571324470787,0.0028684394050254025,0.0,0.0,SZ50/CYB_-1,-1,False,0.0028684394050254025,0.0028684394050254025,0.0,1.5,45.432792155448446,1.0,False,False,False,58,45.432792155448446,1.0,False,0.0028684394050254025,0.0028684394050254025,1.5,0.05236589768560673,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.039343805708655144
2012-06-21,0.005340983293600665,1.5466560172336006,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,1.5,1.5,0.112774053425882,0.005340983293600554,0.0,0.0,SZ50/CYB_-1,-1,False,0.005340983293600554,0.005340983293600554,0.0,1.5,45.73624517388655,1.0,False,False,False,58,45.73624517388655,1.0,False,0.005340983293600554,0.005340983293600554,1.5,0.0542854525013039,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.03421295702405103
2012-06-25,-0.010849628778302867,1.5298753735988877,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,1.5,1.5,0.11568655093115929,-0.010849628778302922,0.0,0.0,SZ50/CYB_-1,-1,False,-0.010849628778302922,-0.010849628778302922,0.0,1.5,43.00718995358428,1.0,False,False,False,58,45.73624517388655,0.9403305800481312,False,-0.010849628778302922,-0.010849628778302922,1.5,0.05771809613384882,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.04469138791923477
2012-06-26,-0.010022513118311704,1.514542177597611,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,True,False,True,HS300/CYB_-1,1.4607113439001236,1.5,0.09980487993429496,-0.008535316092450342,3.0,0.0015,HS300/CYB_-1,-1,True,-0.008535316092450342,-0.008535316092450342,0.0,1.4607113439001236,39.221204806765556,1.0,False,False,False,59,39.221204806765556,1.0,False,-0.008535316092450342,-0.008535316092450342,1.4607113439001236,0.05673053459488009,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.05426598101585045
2012-06-27,0.010734892855335243,1.5308006255990074,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.4607113439001236,1.5,0.1009243158026962,0.010734892855335177,0.0,0.0,HS300/CYB_-1,-1,False,0.010734892855335177,0.010734892855335177,0.0,1.4607113439001236,35.872360597612115,1.0,False,False,False,59,39.221204806765556,0.9146164880540393,False,0.010734892855335177,0.010734892855335177,1.4607113439001236,0.05101939056127691,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.04411362765240989
2012-06-28,-0.0030123597781750444,1.5261893033660479,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.4607113439001236,1.5,0.10087216356161169,-0.0030123597781750253,0.0,0.0,HS300/CYB_-1,-1,False,-0.0030123597781750253,-0.0030123597781750253,0.0,1.4607113439001236,32.96657691016429,1.0,False,False,False,59,39.221204806765556,0.8405294297455554,False,-0.0030123597781750253,-0.0030123597781750253,1.4607113439001236,0.05771176686357127,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.046993101312975405
2012-06-29,0.010313810581369376,1.5419301307522773,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.4607113439001236,1.5,0.09859909883050799,0.010313810581369437,0.0,0.0,HS300/CYB_-1,-1,False,0.010313810581369437,0.010313810581369437,0.0,1.4607113439001236,31.625388998184487,1.0,False,False,False,59,39.221204806765556,0.8063339500659396,False,0.010313810581369437,0.010313810581369437,1.4607113439001236,0.05517108921057079,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.03716396867717919
2012-07-02,0.02701275797385949,1.58358191618689,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.4607113439001236,1.5,0.10846305394569566,0.027012757973859394,0.0,0.0,HS300/CYB_-1,-1,False,0.027012757973859394,0.027012757973859394,0.0,1.4607113439001236,31.82350596745866,1.0,False,False,False,59,39.221204806765556,0.8113852219544564,False,0.027012757973859394,0.027012757973859394,1.4607113439001236,0.060899604392310014,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.011155111994544442
2012-07-03,0.003278793312594619,1.5887741539836293,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.4607113439001236,1.5,0.1042692871214628,0.0032787933125946306,0.0,0.0,HS300/CYB_-1,-1,False,0.0032787933125946306,0.0032787933125946306,0.0,1.4607113439001236,31.668629896745156,1.0,False,False,False,59,39.221204806765556,0.8074364378343217,False,0.0032787933125946306,0.0032787933125946306,1.4607113439001236,0.07668072622788424,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.007912893988558878
2012-07-04,-0.006155733069324043,1.578994084384265,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,1.4607113439001236,1.5,0.10557507588290067,-0.0061557330693240144,0.0,0.0,HS300/CYB_-1,-1,False,-0.0061557330693240144,-0.0061557330693240144,0.0,1.4607113439001236,29.620821343481776,1.0,False,False,False,59,39.221204806765556,0.755224667100799,False,-0.0061557330693240144,-0.0061557330693240144,1.4607113439001236,0.07753909800315784,True,1.0,False,False,False,0.0,1.0,1.0,False,-0.014019917394683556
