ma_window,slope_window,segment,start,end,rows,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,total_return,final_nav,mode,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,target_vol,vol_window,scale_threshold
60,20,last_1y,2025-05-06,2026-05-06,243,0.7039035863472384,0.17579124192092627,1.0724081123243594,0.1954076735202554,3.84348480872592,-0.059453456476500466,18.037775696829986,1.0713747032972298,2.07137470329723,formal,20,0.2,1.03,0.5,,0.25,100,0.15
60,20,last_3y,2023-05-04,2026-05-06,727,0.5888285945991968,0.17248346169192758,0.4719126349217151,0.18683254619220846,2.179234491722219,-0.12648484870811094,3.730981534482029,2.1965410117248774,3.1965410117248774,formal,20,0.2,1.03,0.5,,0.25,100,0.15
60,20,last_5y,2021-05-06,2026-05-06,1211,0.7012414436611197,0.20976092208920838,0.3570329090626141,0.18193922838157905,1.780125525953681,-0.17409490657398063,2.050794684857107,3.601094419953002,4.601094419953002,formal,20,0.2,1.03,0.5,,0.25,100,0.15
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6809301801664667,0.2233727282729102,0.3218185206783275,0.181190674851805,1.637785087621333,-0.17409490657397964,1.8485234692467836,15.301064003013984,16.301064003013984,formal,20,0.2,1.03,0.5,,0.25,100,0.15
60,20,full_common,2010-09-29,2026-05-06,3786,0.69693308624307,0.22283191382316728,0.32596408458321924,0.20129063676702644,1.5099720602319484,-0.24214507529052498,1.3461520296959517,80.56972835867104,81.56972835867104,formal,20,0.2,1.03,0.5,,0.25,100,0.15
60,20,last_1y,2025-05-06,2026-05-06,243,0.7039035863472384,0.17579124192092627,1.0724081123243594,0.1954076735202554,3.84348480872592,-0.059453456476500466,18.037775696829986,1.0713747032972298,2.07137470329723,formal,20,0.2,1.03,0.5,,0.25,100,0.2
60,20,last_3y,2023-05-04,2026-05-06,727,0.5807668843799374,0.16950587721473498,0.46543439886599347,0.18419017669146268,2.1838714794422596,-0.12185343995287545,3.819624616637754,2.1544345828529745,3.1544345828529745,formal,20,0.2,1.03,0.5,,0.25,100,0.2
60,20,last_5y,2021-05-06,2026-05-06,1211,0.6842976801107313,0.20427641764553658,0.35083105734456277,0.1780047753342903,1.7896967382038145,-0.16767472628271085,2.092331176691698,3.496926546563845,4.496926546563845,formal,20,0.2,1.03,0.5,,0.25,100,0.2
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6676830322696382,0.21887488314465,0.31318205980908953,0.17805449825473907,1.6265296682784678,-0.1676747262827103,1.8677952649885026,14.266354516253218,15.266354516253218,formal,20,0.2,1.03,0.5,,0.25,100,0.2
60,20,full_common,2010-09-29,2026-05-06,3786,0.6833814599779521,0.21823690384995223,0.31918428635948515,0.19846141079666552,1.5027551241946673,-0.24550798355353798,1.3000973807024103,74.30056974460615,75.30056974460615,formal,20,0.2,1.03,0.5,,0.25,100,0.2
60,20,last_1y,2025-05-06,2026-05-06,243,0.7353395061728395,0.18364197530864199,1.1362004558146537,0.20413326097688345,3.837000216705946,-0.062068609892664495,18.305556669941375,1.135090930508471,2.135090930508471,formal,20,0.2,1.03,0.5,,0.25,120,0.1
60,20,last_3y,2023-05-04,2026-05-06,727,0.5998982883930083,0.17340564546363174,0.49079371092543345,0.1909037407169855,2.2041439734447854,-0.1217367215607511,4.0315995423000555,2.3213981276698585,3.3213981276698585,formal,20,0.2,1.03,0.5,,0.25,120,0.1
60,20,last_5y,2021-05-06,2026-05-06,1211,0.695478474140023,0.20652460314588705,0.3647729132148607,0.18216536161425947,1.8095670734692944,-0.1675127795799639,2.177582594769927,3.7337958906383957,4.733795890638396,formal,20,0.2,1.03,0.5,,0.25,120,0.1
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6945834500960242,0.22768876317047487,0.3297819113452791,0.18530527452498038,1.6381005182529114,-0.16751277957996458,1.9686970282040666,16.31061706037292,17.31061706037292,formal,20,0.2,1.03,0.5,,0.25,120,0.1
60,20,full_common,2010-09-29,2026-05-06,3786,0.7003675086298335,0.22391778949401214,0.33347420795858573,0.2029395912725118,1.527399686420664,-0.24850274959607077,1.34193367478079,88.08288854526589,89.08288854526589,formal,20,0.2,1.03,0.5,,0.25,120,0.1
60,20,last_1y,2025-05-06,2026-05-06,243,0.7353395061728395,0.18364197530864199,1.1362004558146537,0.20413326097688345,3.837000216705946,-0.062068609892664495,18.305556669941375,1.135090930508471,2.135090930508471,formal,20,0.2,1.03,0.5,,0.25,120,0.15
60,20,last_3y,2023-05-04,2026-05-06,727,0.6082306133906088,0.17680133461600353,0.4921189613505921,0.1923870694509411,2.1932233801638703,-0.12648484870811094,3.8907344743421,2.33028196613163,3.33028196613163,formal,20,0.2,1.03,0.5,,0.25,120,0.15
60,20,last_5y,2021-05-06,2026-05-06,1211,0.7128890635301178,0.2123530720609699,0.3682044926307795,0.18539686333244093,1.7948366533882023,-0.17409490657398063,2.114964187503746,3.7936008688873297,4.79360086888733,formal,20,0.2,1.03,0.5,,0.25,120,0.15
60,20,last_10y,2016-05-04,2026-05-06,2429,0.7025134058052064,0.2303474826817603,0.3315666627102085,0.18730086497574558,1.6297888929627617,-0.17409490657397908,1.9045167330574035,16.544454370687795,17.544454370687795,formal,20,0.2,1.03,0.5,,0.25,120,0.15
60,20,full_common,2010-09-29,2026-05-06,3786,0.7070938477998044,0.22601014525783847,0.3337405319290745,0.20495598015729205,1.5153438564439066,-0.2612949756910362,1.2772558333601496,88.36085056562898,89.36085056562898,formal,20,0.2,1.03,0.5,,0.25,120,0.15
