rank_by_sharpe,rule,target_vol,vol_window,max_lev,signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio,avg_weight,max_weight
8,target_vol,0.25,80.0,1.0,orig_tv25_w80_max1p0,3Y,2023-05-08,2026-05-08,727,1.0883975074475054,0.2781448428354829,0.23483062702926,1.1661915400043295,-0.27183571856884803,2024-09-23,112.61279554665951,131,160,0.2200825309491059,0.7526475942067727,1.0
9,target_vol,0.35,40.0,1.0,orig_tv35_w40_max1p0,3Y,2023-05-08,2026-05-08,727,1.094495577770004,0.27938740099579507,0.23683963767878274,1.162372231012429,-0.27183571856884803,2024-09-23,113.86114645588914,101,160,0.2200825309491059,0.7590770755360748,1.0
10,target_vol,0.2,40.0,1.0,orig_tv20_w40_max1p0,3Y,2023-05-08,2026-05-08,727,0.9063798594501218,0.23988624359758548,0.20479810017172137,1.1581725093886004,-0.2711744903292974,2024-09-23,112.65644701713629,233,160,0.2200825309491059,0.7257891436065304,1.0
11,target_vol,0.25,120.0,1.0,orig_tv25_w120_max1p0,3Y,2023-05-08,2026-05-08,727,1.0727366030828365,0.2749426143993916,0.2343338579402636,1.1573225407589502,-0.27183571856884803,2024-09-23,107.80009261328948,141,160,0.2200825309491059,0.7332119334791356,1.0
12,target_vol,0.3,60.0,1.5,orig_tv30_w60_max1p5,3Y,2023-05-08,2026-05-08,727,1.6292098833543092,0.38009769658856474,0.32443355311691563,1.1567270556711393,-0.3978725805443598,2024-09-23,166.74900051264885,242,160,0.2200825309491059,1.0947686044908764,1.5
13,target_vol,0.35,60.0,1.5,orig_tv35_w60_max1p5,3Y,2023-05-08,2026-05-08,727,1.7061271661454565,0.3934237028592913,0.3377190804909426,1.1515580525621987,-0.3983356945662836,2024-09-23,167.62061957793668,146,160,0.2200825309491059,1.1159748322460867,1.5
14,target_vol,0.25,20.0,1.0,orig_tv25_w20_max1p0,3Y,2023-05-08,2026-05-08,727,0.9187172317755701,0.24255457717623252,0.2101372351372264,1.1439586436114164,-0.27183571856884803,2024-09-23,114.04888524945727,129,160,0.2200825309491059,0.744641957773342,1.0
15,target_vol,0.4,60.0,1.5,orig_tv40_w60_max1p5,3Y,2023-05-08,2026-05-08,727,1.7495933620649908,0.4008428706387215,0.34771911353699,1.1426283333712188,-0.3983356945662836,2024-09-23,168.81505128988545,137,160,0.2200825309491059,1.1304993499721718,1.5
16,target_vol,0.4,40.0,1.5,orig_tv40_w40_max1p5,3Y,2023-05-08,2026-05-08,727,1.6743203851165593,0.3879441651806803,0.3366429706161065,1.1424881222013712,-0.3983356945662836,2024-09-23,169.6703684022364,133,160,0.2200825309491059,1.122734201779418,1.5
17,target_vol,0.3,20.0,1.0,orig_tv30_w20_max1p0,3Y,2023-05-08,2026-05-08,727,0.969134743278455,0.2533415480108372,0.22035400963956386,1.139594749478893,-0.27183571856884803,2024-09-23,114.8975194579815,117,160,0.2200825309491059,0.7511078764689497,1.0
18,target_vol,0.35,40.0,1.5,orig_tv35_w40_max1p5,3Y,2023-05-08,2026-05-08,727,1.5853481685822808,0.37238189621242324,0.32558139357230853,1.1365276978151402,-0.3983356945662836,2024-09-23,169.17009459538883,144,160,0.2200825309491059,1.1119831301390586,1.5
19,target_vol,0.1,120.0,1.0,orig_tv10_w120_max1p0,3Y,2023-05-08,2026-05-08,727,0.509137995576032,0.14699817881858235,0.12873640821612772,1.1362592503206475,-0.1933102693530958,2024-02-02,66.25101260795086,580,160,0.2200825309491059,0.42233863495321156,0.8199178465151864
20,target_vol,0.1,120.0,1.5,orig_tv10_w120_max1p5,3Y,2023-05-08,2026-05-08,727,0.509137995576032,0.14699817881858235,0.12873640821612772,1.1362592503206475,-0.1933102693530958,2024-02-02,66.25101260795086,580,160,0.2200825309491059,0.42233863495321156,0.8199178465151864
1,target_vol,0.1,60.0,1.0,orig_tv10_w60_max1p0,1Y,2025-05-08,2026-05-08,243,0.42877777728791644,0.4291270087269359,0.11416461738029016,3.197297802122356,-0.03902622796070643,2026-02-02,15.377725706566368,219,29,0.11934156378600823,0.45789684071568676,0.9120952245323756
2,target_vol,0.1,60.0,1.5,orig_tv10_w60_max1p5,1Y,2025-05-08,2026-05-08,243,0.42877777728791644,0.4291270087269359,0.11416461738029016,3.197297802122356,-0.03902622796070643,2026-02-02,15.377725706566368,219,29,0.11934156378600823,0.45789684071568676,0.9120952245323756
3,target_vol,0.15,60.0,1.0,orig_tv15_w60_max1p0,1Y,2025-05-08,2026-05-08,243,0.669121890648823,0.6697076696216258,0.16575979408496724,3.1887350133537837,-0.05839073110195603,2026-02-02,22.109213923829607,202,29,0.11934156378600823,0.6794406237458783,1.0
4,target_vol,0.2,60.0,1.5,orig_tv20_w60_max1p5,1Y,2025-05-08,2026-05-08,243,0.9636480358922663,0.9645558330092783,0.22427714518945369,3.13633001942933,-0.07753643579108571,2026-02-02,30.102918892592722,217,29,0.11934156378600823,0.9125409474642944,1.5
5,target_vol,0.15,60.0,1.5,orig_tv15_w60_max1p5,1Y,2025-05-08,2026-05-08,243,0.6745306963107853,0.6751220854698303,0.17124153580606713,3.1109945552883027,-0.05839073110195625,2026-02-02,23.06658855984955,219,29,0.11934156378600823,0.6868452610735302,1.368142836798563
6,target_vol,0.1,80.0,1.0,orig_tv10_w80_max1p0,1Y,2025-05-08,2026-05-08,243,0.382917368880215,0.38322448195974745,0.10706959634547988,3.095536950030286,-0.04177727630375094,2026-02-02,14.264302546717374,219,29,0.11934156378600823,0.4429750584294193,0.6679408582609212
7,target_vol,0.1,80.0,1.5,orig_tv10_w80_max1p5,1Y,2025-05-08,2026-05-08,243,0.382917368880215,0.38322448195974745,0.10706959634547988,3.095536950030286,-0.04177727630375094,2026-02-02,14.264302546717374,219,29,0.11934156378600823,0.4429750584294193,0.6679408582609212
8,target_vol,0.25,60.0,1.5,orig_tv25_w60_max1p5,1Y,2025-05-08,2026-05-08,243,1.2165799010148493,1.2177886694966324,0.2707400990322833,3.0907196194816446,-0.09646442202911742,2026-02-02,35.979574275133736,184,29,0.11934156378600823,1.1149985016004056,1.5
9,target_vol,0.1,120.0,1.0,orig_tv10_w120_max1p0,1Y,2025-05-08,2026-05-08,243,0.3644892490043796,0.3647797293834194,0.10530421075531925,3.017567150231567,-0.03628677617932574,2026-04-15,14.167970738907645,218,29,0.11934156378600823,0.4378370693223349,0.6160890461374332
10,target_vol,0.1,120.0,1.5,orig_tv10_w120_max1p5,1Y,2025-05-08,2026-05-08,243,0.3644892490043796,0.3647797293834194,0.10530421075531925,3.017567150231567,-0.03628677617932574,2026-04-15,14.167970738907645,218,29,0.11934156378600823,0.4378370693223349,0.6160890461374332
11,target_vol,0.2,60.0,1.0,orig_tv20_w60_max1p0,1Y,2025-05-08,2026-05-08,243,0.7810632313296391,0.7817675132863147,0.199419283700212,3.008548940502327,-0.06555385386369927,2026-02-02,25.422816949686823,119,29,0.11934156378600823,0.8284231566232639,1.0
12,target_vol,0.15,80.0,1.5,orig_tv15_w80_max1p5,1Y,2025-05-08,2026-05-08,243,0.5955123985423103,0.5960230386748024,0.16059912430367268,3.003477848846925,-0.06246945072410215,2026-02-02,21.39645382007606,219,29,0.11934156378600823,0.6644625876441287,1.0019112873913816
13,target_vol,0.15,80.0,1.0,orig_tv15_w80_max1p0,1Y,2025-05-08,2026-05-08,243,0.5955016029919575,0.5960122322728043,0.16059902983554378,3.003437133307514,-0.06246945072410204,2026-02-02,21.392631245293295,219,29,0.11934156378600823,0.6644547222639174,1.0
14,target_vol,0.15,40.0,1.0,orig_tv15_w40_max1p0,1Y,2025-05-08,2026-05-08,243,0.6215932348215534,0.6221302367301769,0.1668656068210618,2.994481512229693,-0.061129630128319845,2025-12-16,24.013593450814007,199,29,0.11934156378600823,0.6864361008662305,1.0
15,target_vol,0.25,20.0,1.0,orig_tv25_w20_max1p0,1Y,2025-05-08,2026-05-08,243,0.7713074349986484,0.7720011929012733,0.19923041949917755,2.983497024420751,-0.06555385386369927,2026-02-02,25.49127592585505,42,29,0.11934156378600823,0.8557888350874436,1.0
