date,1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.950175,1.000852,1.000016,1.000300,1.000905,0.399006,1.000001
2006-02-14,1130.38,,892.04,942.28,998.76,,934.09,862.65,1038.53,986.06,,1286.33
2006-02-15,1131.03,,897.6,943.98,998.86,,935.77,868.02,1041.66,986.16,,1299.17
2006-02-16,1106.96,,885.22,922.01,970.94,,914.0,856.05,1020.12,958.59,,1270.63
2006-02-17,1107.24,,887.23,915.67,962.52,,907.71,857.99,1020.37,949.99,,1267.41
2006-02-20,1110.67,,887.21,907.48,956.21,,899.59,857.97,1021.64,943.77,,1267.54
2006-02-21,1124.13,,902.3,926.4,972.67,,918.34,872.57,1038.82,960.02,,1288.42
2006-02-22,1125.89,,899.74,927.63,972.6,,919.56,870.1,1037.89,959.95,,1284.23
2006-02-23,1122.99,,907.56,928.95,971.36,,920.87,877.17,1041.37,958.72,,1288.85
2006-02-24,1134.35,,912.86,934.75,979.91,,926.62,882.78,1049.44,967.16,,1296.87
2006-02-27,1131.27,,917.86,934.6,976.08,,926.48,887.62,1047.84,963.38,,1297.19
2006-02-28,1133.37,,923.33,937.53,977.44,,929.38,892.9,1053.01,964.73,,1299.03
2006-03-01,1137.69,,926.14,944.92,984.88,,936.7,895.63,1056.62,972.07,,1306.59
2006-03-02,1127.43,,906.49,926.0,965.99,,917.95,876.62,1038.67,953.37,,1285.67
2006-03-03,1130.56,,910.37,926.06,967.09,,918.01,880.37,1041.68,954.46,,1293.3
2006-03-06,1128.98,,909.29,923.69,965.06,,915.66,879.33,1038.87,952.35,,1288.95
2006-03-07,1108.03,,891.23,896.8,940.96,,889.0,861.87,1014.97,928.58,,1259.92
2006-03-08,1101.11,,888.6,897.78,937.17,,889.97,859.32,1009.27,924.83,,1250.38
2006-03-09,1100.98,,882.46,891.78,932.41,,884.03,853.38,1004.34,920.13,,1245.17
2006-03-10,1104.43,,886.35,893.18,933.98,,885.41,857.14,1008.9,921.68,,1245.65
2006-03-13,1113.79,,893.1,900.51,940.9,,892.68,863.68,1019.86,928.52,,1259.67
2006-03-14,1113.49,,890.21,903.65,944.22,,895.8,860.87,1018.27,931.72,,1259.04
2006-03-15,1123.78,,897.91,910.66,955.33,,902.74,868.32,1028.96,942.69,,1274.81
2006-03-16,1124.08,,895.22,911.86,958.2,,903.93,865.72,1027.62,945.52,,1274.19
2006-03-17,1120.92,,892.68,907.28,956.38,,899.39,863.27,1024.02,943.73,,1269.46
2006-03-20,1132.07,,904.94,916.33,968.96,,908.36,875.13,1037.66,956.14,,1288.42
2006-03-21,1133.52,,905.05,919.13,972.8,,911.14,875.23,1040.76,959.93,,1290.4
2006-03-22,1139.11,,905.66,928.38,985.17,,920.3,875.82,1047.67,972.14,,1296.71
2006-03-23,1140.04,,904.93,939.35,994.0,,931.18,875.11,1048.54,980.84,,1302.46
2006-03-24,1136.99,,899.06,929.39,987.34,,921.31,869.44,1042.6,974.27,,1294.7
2006-03-27,1139.19,,902.29,939.2,997.35,,931.03,872.56,1050.71,984.15,,1295.92
2006-03-28,1144.0,,904.58,941.49,1007.86,,933.3,874.77,1055.98,994.52,,1298.79
2006-03-29,1154.38,,915.46,939.21,1011.09,,931.04,885.29,1065.29,997.7,,1305.57
2006-03-30,1148.34,,907.69,932.06,1000.23,,923.95,877.78,1055.63,986.96,,1294.72
2006-03-31,1156.54,,908.69,931.29,1013.7,,923.19,878.37,1061.09,1000.25,,1298.3
2006-04-03,1171.54,,922.34,944.56,1039.62,,936.34,891.56,1079.32,1025.79,,1319.47
2006-04-04,1184.72,,931.94,955.56,1052.1,,947.25,900.84,1089.37,1038.11,,1329.8
