date,sz50,zz1000,spread_close,score,base_gross_exposure,base_nav,base_target_vol_scale,base_realized_vol,base_nav_defense_gate,base_decay_gate,return,gross_return,cost,turnover,gross_exposure,nav,nav_defense_gate,decay_gate,overheat_gate,overheat_indicator,overheat_scale
2025-12-08,3019.362,7423.046,1.5320918515740078,-0.9307601297766239,0.75,3.168532926400958,1.0,,1,0,-0.0038506094502214483,-0.0038506094502214483,0.0,0.0,0.75,3.4335862332968508,1,0,0,0.1292460858807479,1.0
2025-12-09,2997.96,7380.584,1.529983954704625,-3.073132484884463,0.0,3.1673447265535577,1.0,,0,0,-0.000375,0.0,0.000375,0.75,0.0,3.4322986384593643,0,0,0,0.13063959207606457,1.0
2025-12-10,2988.638,7408.244,1.5195318442286123,-5.483504579768411,0.0,3.1673447265535577,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4322986384593643,0,0,0,0.1301292350501638,1.0
2025-12-11,2977.032,7311.995,1.5335551077322127,-6.000728821706357,0.0,3.1673447265535577,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4322986384593643,0,0,0,0.1272734626895388,1.0
2025-12-12,2994.645,7370.942,1.5302913456860954,-6.906017629841734,0.0,3.1673447265535577,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4322986384593643,0,0,0,0.1304741672630072,1.0
2025-12-15,2987.068,7309.078,1.5393390349560694,-7.316038939310503,0.0,3.1673447265535577,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4322986384593643,0,0,0,0.1307355413240516,1.0
2025-12-16,2954.787,7181.62,1.5497281707294335,-5.812387572695253,0.0,3.1673447265535577,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4322986384593643,0,0,0,0.12527377198102885,1.0
2025-12-17,2991.678,7288.738,1.5460170459690956,-4.07860648524774,0.0,3.1673447265535577,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4322986384593643,0,0,0,0.12511499459653486,1.0
2025-12-18,2998.517,7272.402,1.5530320110885094,-1.563203334970988,0.0,3.1673447265535577,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4322986384593643,0,0,0,0.11654550151848515,1.0
2025-12-19,3004.34,7329.806,1.5438616151401567,0.9092610574130158,0.0,3.1673447265535577,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.4322986384593643,0,0,0,0.11726104906421901,1.0
2025-12-22,3020.229,7408.349,1.5355720889647837,0.8652889591742698,0.75,3.1534020465353048,1.0,,1,0,-0.004402009008165134,-0.004027009008165133,0.000375,0.75,0.75,3.4171896289341532,1,0,0,0.09426580490491886,1.0
2025-12-23,3027.52,7392.42,1.5425958446220556,1.0640420073477805,0.75,3.164219867604977,1.0,,1,0,0.00343052389452142,0.00343052389452142,0.0,0.0,0.75,3.4289123796083225,1,0,0,0.0834931296095268,1.0
2025-12-24,3025.184,7506.381,1.5180041554191397,-1.8889165838127715,0.75,3.1263874477467,1.0,,1,0,-0.01195631828420085,-0.01195631828420085,0.0,0.0,0.75,3.387915211829089,1,0,0,0.08187715537623616,1.0
2025-12-25,3032.841,7579.379,1.5071892508539477,-5.990573599485379,0.0,3.125215052453795,1.0,,0,0,-0.000375,0.0,0.000375,0.75,0.0,3.386644743624653,0,0,0,0.0979027263043104,1.0
2025-12-26,3045.404,7605.53,1.5082286967275713,-10.209703967212118,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.10020150598185666,1.0
2025-12-29,3034.635,7594.158,1.5051459125067486,-13.984633888327329,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.09344798461007595,1.0
2025-12-30,3036.552,7597.299,1.5054740484126958,-16.59154398350699,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.09342440675963036,1.0
