trade_id,strategy,symbol,allocation,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
1014,Sub-B,SUBB_T1014,BIL:13.3%(BIL); IBIT:6.6%(比特币); PDBC:12.5%(大宗商品); EMXC:13.9%(新兴市场(除中国)); QQQM:80.8%(Nasdaq 100),2018-07-27,2018-08-01,1.0,0.9875930983173357,long,4,False
1015,Sub-B,SUBB_T1015,BIL:13.8%(BIL); IBIT:6.9%(比特币); PDBC:13.6%(大宗商品); EMXC:15.6%(新兴市场(除中国)); QQQM:73.4%(Nasdaq 100),2018-08-02,2018-08-02,1.0,1.011253352976659,long,1,False
1016,Sub-B,SUBB_T1016,BIL:13.8%(BIL); IBIT:6.9%(比特币); PDBC:13.6%(大宗商品); EMXC:15.6%(新兴市场(除中国)); QQQM:73.4%(Nasdaq 100),2018-08-03,2018-08-08,1.0,0.9979681755601758,long,4,False
1017,Sub-B,SUBB_T1017,BIL:13.4%(BIL); IBIT:5.3%(比特币); PDBC:14.9%(大宗商品); EMXC:15.2%(新兴市场(除中国)); QQQM:76.3%(Nasdaq 100),2018-08-09,2018-08-09,1.0,1.0018851146188026,long,1,False
1018,Sub-B,SUBB_T1018,BIL:13.4%(BIL); IBIT:5.3%(比特币); PDBC:14.9%(大宗商品); EMXC:15.2%(新兴市场(除中国)); QQQM:76.3%(Nasdaq 100),2018-08-10,2018-08-15,1.0,0.9766150492033575,long,4,False
1019,Sub-B,SUBB_T1019,BIL:14.0%(BIL); IBIT:6.1%(比特币); PDBC:15.1%(大宗商品); VEA:16.8%(发达市场); QQQM:69.4%(Nasdaq 100),2018-08-16,2018-08-16,1.0,1.0049331006465596,long,1,False
1020,Sub-B,SUBB_T1020,BIL:14.0%(BIL); IBIT:6.1%(比特币); PDBC:15.1%(大宗商品); VEA:16.8%(发达市场); QQQM:69.4%(Nasdaq 100),2018-08-17,2018-08-22,1.0,1.0325204483785289,long,4,False
1021,Sub-B,SUBB_T1021,BIL:4.9%(BIL); IBIT:6.5%(比特币); PDBC:13.8%(大宗商品); VEA:15.2%(发达市场); QQQM:68.8%(Nasdaq 100); VGLT:13.7%(长期国债),2018-08-23,2018-08-23,1.0,0.9991077673632778,long,1,False
1022,Sub-B,SUBB_T1022,BIL:4.9%(BIL); IBIT:6.5%(比特币); PDBC:13.8%(大宗商品); VEA:15.2%(发达市场); QQQM:68.8%(Nasdaq 100); VGLT:13.7%(长期国债),2018-08-24,2018-08-29,1.0,1.0332194883407593,long,4,False
1023,Sub-B,SUBB_T1023,BIL:14.1%(BIL); IBIT:5.8%(比特币); PDBC:12.5%(大宗商品); VEA:12.5%(发达市场); QQQM:81.4%(Nasdaq 100),2018-08-30,2018-08-30,1.0,0.9967853149957868,long,1,False
1024,Sub-B,SUBB_T1024,BIL:14.1%(BIL); IBIT:5.8%(比特币); PDBC:12.5%(大宗商品); VEA:12.5%(发达市场); QQQM:81.4%(Nasdaq 100),2018-08-31,2018-09-05,1.0,0.9818843383351639,long,3,False
1025,Sub-B,SUBB_T1025,BIL:14.3%(BIL); IBIT:6.4%(比特币); PDBC:14.3%(大宗商品); VEA:13.5%(发达市场); QQQM:74.7%(Nasdaq 100),2018-09-06,2018-09-06,1.0,0.9893871966173631,long,1,False
1026,Sub-B,SUBB_T1026,BIL:14.3%(BIL); IBIT:6.4%(比特币); PDBC:14.3%(大宗商品); VEA:13.5%(发达市场); QQQM:74.7%(Nasdaq 100),2018-09-07,2018-09-12,1.0,1.004716586793716,long,4,False
1027,Sub-B,SUBB_T1027,BIL:12.5%(BIL); IBIT:6.4%(比特币); PDBC:15.2%(大宗商品); VEA:14.4%(发达市场); QQQM:78.4%(Nasdaq 100),2018-09-13,2018-09-13,1.0,1.0090919807942973,long,1,False
1028,Sub-B,SUBB_T1028,BIL:12.5%(BIL); IBIT:6.4%(比特币); PDBC:15.2%(大宗商品); VEA:14.4%(发达市场); QQQM:78.4%(Nasdaq 100),2018-09-14,2018-09-19,1.0,0.9946133865949536,long,4,False
1029,Sub-B,SUBB_T1029,BIL:3.1%(BIL); IBIT:7.5%(比特币); PDBC:29.2%(大宗商品); VEA:15.2%(发达市场); QQQM:67.4%(Nasdaq 100),2018-09-20,2018-09-20,1.0,1.0116990568693138,long,1,False
1030,Sub-B,SUBB_T1030,BIL:3.1%(BIL); IBIT:7.5%(比特币); PDBC:29.2%(大宗商品); VEA:15.2%(发达市场); QQQM:67.4%(Nasdaq 100),2018-09-21,2018-09-26,1.0,1.0033305644316963,long,4,False
1031,Sub-B,SUBB_T1031,BIL:1.1%(BIL); IBIT:7.1%(比特币); PDBC:43.4%(大宗商品); QQQM:75.3%(Nasdaq 100),2018-09-27,2018-09-27,1.0,1.008815275750019,long,1,False
1032,Sub-B,SUBB_T1032,BIL:1.1%(BIL); IBIT:7.1%(比特币); PDBC:43.4%(大宗商品); QQQM:75.3%(Nasdaq 100),2018-09-28,2018-10-03,1.0,1.0147742313551003,long,4,False
1033,Sub-B,SUBB_T1033,BIL:0.4%(BIL); IBIT:11.7%(比特币); PDBC:38.2%(大宗商品); QQQM:76.1%(Nasdaq 100),2018-10-04,2018-10-04,1.0,0.9816683038440349,long,1,False
1034,Sub-B,SUBB_T1034,BIL:0.4%(BIL); IBIT:11.7%(比特币); PDBC:38.2%(大宗商品); QQQM:76.1%(Nasdaq 100),2018-10-05,2018-10-10,1.0,0.9488488278990533,long,4,False
1035,Sub-B,SUBB_T1035,BIL:6.8%(BIL); IBIT:14.1%(比特币); PDBC:41.9%(大宗商品); QQQM:47.3%(Nasdaq 100),2018-10-11,2018-10-11,1.0,0.9790005166702478,long,1,False
1036,Sub-B,SUBB_T1036,BIL:6.8%(BIL); IBIT:14.1%(比特币); PDBC:41.9%(大宗商品); QQQM:47.3%(Nasdaq 100),2018-10-12,2018-10-17,1.0,1.0378077531808914,long,4,False
1037,Sub-B,SUBB_T1037,BIL:18.0%(BIL); IBIT:14.9%(比特币); PDBC:31.9%(大宗商品); QQQM:42.7%(Nasdaq 100),2018-10-18,2018-10-18,1.0,0.9828633072803825,long,1,False
1038,Sub-B,SUBB_T1038,BIL:18.0%(BIL); IBIT:14.9%(比特币); PDBC:31.9%(大宗商品); QQQM:42.7%(Nasdaq 100),2018-10-19,2018-10-24,1.0,0.9750767954608832,long,4,False
1039,Sub-B,SUBB_T1039,BIL:18.7%(BIL); IBIT:19.2%(比特币); PDBC:31.2%(大宗商品); QQQM:36.2%(Nasdaq 100),2018-10-25,2018-10-25,1.0,1.015621749029544,long,1,False
1040,Sub-B,SUBB_T1040,BIL:18.7%(BIL); IBIT:19.2%(比特币); PDBC:31.2%(大宗商品); QQQM:36.2%(Nasdaq 100),2018-10-26,2018-10-31,1.0,0.9840142824845453,long,4,False
1041,Sub-B,SUBB_T1041,BIL:19.0%(BIL); IBIT:17.9%(比特币); PDBC:34.7%(大宗商品); QQQM:32.5%(Nasdaq 100),2018-11-01,2018-11-01,1.0,1.0044323499115164,long,1,False
