mode,bias_n,mom_day,r2_window,window,start,end,total,cagr,valid,maxdd,dd_date,sharpe,avg_weight,avg_turnover,signal_days,cash_days,top_holds
core_1x,40,30,30,5Y,2021-04-30,2026-04-30,1.3024190579035277,0.18153554593346488,True,-0.17944250474226153,2022-05-24,0.9589871082092585,0.666804293971924,0.10569777043765483,143,365,cash:365; 0.399606:260; NASDAQ_159941:250; GOLD_518880:203; 1.H00016:133
core_1x,40,30,30,3Y,2023-05-04,2026-04-30,1.3447180843288957,0.3298026158109644,True,-0.16954528538482827,2026-02-02,1.4038517267680812,0.6866391184573003,0.09641873278236915,73,207,cash:207; 0.399606:176; NASDAQ_159941:164; GOLD_518880:128; 1.H00016:51
a_style_volscale,40,30,30,10Y,2016-05-03,2026-04-30,3.9365751115849044,0.17330004150669698,True,-0.4112768303864477,2018-12-21,0.7374852053395531,0.9542985120205706,0.1556837567789058,303,686,cash:686; 0.399606:587; NASDAQ_159941:525; GOLD_518880:374; 1.H00016:257
a_style_volscale,40,30,30,5Y,2021-04-30,2026-04-30,1.589439735574126,0.20962979641091883,True,-0.28648474582659234,2023-11-02,0.8574412208323543,0.9290193480276678,0.15328418696357934,143,365,cash:365; 0.399606:260; NASDAQ_159941:250; GOLD_518880:203; 1.H00016:133
a_style_volscale,40,30,30,3Y,2023-05-04,2026-04-30,1.8081574085682472,0.41249564986016596,True,-0.20850146621835575,2024-10-17,1.3364281004814187,0.9148297660229833,0.13564316008304508,73,207,cash:207; 0.399606:176; NASDAQ_159941:164; GOLD_518880:128; 1.H00016:51
core_1x,40,35,35,10Y,2016-05-03,2026-04-30,1.638482382074511,0.10198538501394872,True,-0.26333186665941455,2024-10-17,0.5883438246356751,0.6887608069164265,0.10415808974886785,288,684,cash:684; 0.399606:564; NASDAQ_159941:520; GOLD_518880:405; 1.H00016:256
core_1x,40,35,35,5Y,2021-04-30,2026-04-30,1.0811978661765256,0.15790089742352986,True,-0.26333186665941455,2024-10-17,0.8466735186032854,0.6952931461601982,0.09991742361684558,142,334,cash:334; 0.399606:266; NASDAQ_159941:253; GOLD_518880:221; 1.H00016:137
core_1x,40,35,35,3Y,2023-05-04,2026-04-30,1.0769694321197467,0.2769485331912507,True,-0.26333186665941466,2024-10-17,1.2200051689726934,0.7100550964187328,0.08677685950413223,70,192,cash:192; 0.399606:181; NASDAQ_159941:161; GOLD_518880:136; 1.H00016:56
a_style_volscale,40,35,35,10Y,2016-05-03,2026-04-30,1.8890454247942459,0.1120380078838148,True,-0.38107873576715057,2019-02-15,0.5335919425427571,0.9622178719446303,0.14928496906627092,288,684,cash:684; 0.399606:564; NASDAQ_159941:520; GOLD_518880:405; 1.H00016:256
a_style_volscale,40,35,35,5Y,2021-04-30,2026-04-30,1.2352600784431442,0.17455992159006994,True,-0.3713110545427385,2024-10-17,0.7408486963178582,0.972884653194314,0.14481650294644027,142,334,cash:334; 0.399606:266; NASDAQ_159941:253; GOLD_518880:221; 1.H00016:137
