date,position,asset_return,base_weight,trade_count,stop_exit_count,return_1x,nav_1x,realized_vol_for_scale,scale_raw,weight,return_tv25,nav_tv25
2023-11-10,159985.SZ,-0.022467147096227214,1.0,124,22,-0.022467147096227214,9.85847817718401,0.15374597556238032,1.5,1.5,-0.03370072064434082,11.878358809378089
2023-11-13,159985.SZ,0.006938421509106618,1.0,124,22,0.006938421509106618,9.926880454215642,0.15845291513731347,1.5,1.5,0.010407632263659927,12.0019843997619
2023-11-14,159985.SZ,0.009474590869939625,1.0,124,22,0.009474590869939625,10.020933585134136,0.1588708451032729,1.5,1.5,0.014211886304909438,12.172555237484612
2023-11-15,159985.SZ,0.010238907849829282,1.0,124,22,0.010238907849829282,10.123537000681583,0.15880751434184476,1.5,1.5,0.015358361774743923,12.359505744544956
2023-11-16,159985.SZ,-0.0016891891891891442,1.0,124,22,-0.0016891891891891442,10.106436431423676,0.15972930843876457,1.5,1.5,-0.0025337837837837163,12.328189429313845
2023-11-17,159985.SZ,-0.022419627749576954,1.0,124,22,-0.022419627749576954,9.879853888756394,0.15475598794522946,1.5,1.5,-0.03362944162436543,11.913599302566617
2023-11-20,159985.SZ,-0.012115967113803583,1.0,124,22,-0.012115967113803583,9.760149903951037,0.1593497698199052,1.5,1.5,-0.018173950670705374,11.697082136531222
2023-11-21,513030.SH,0.010074463425317592,1.0,125,22,0.010074463425317592,9.858478177184008,0.16007977775359022,1.5,1.5,0.015111695137976389,11.873844875782352
2023-11-22,513030.SH,-0.0049261083743842304,1.0,125,22,-0.0049261083743842304,9.809914245276698,0.16105181935889434,1.5,1.5,-0.007389162561576346,11.786107105764255
2023-11-23,513030.SH,0.0008250825082509738,1.0,125,22,0.0008250825082509738,9.818008233927918,0.15782841284879945,1.5,1.5,0.0012376237623764608,11.800693871984265
2023-11-24,513030.SH,0.009068425391590917,1.0,125,22,0.009068425391590917,9.907042109091318,0.1573031055510153,1.5,1.5,0.013602638087386376,11.961214439904905
2023-11-27,513030.SH,0.0016339869281045694,1.0,125,22,0.0016339869281045694,9.923230086393755,0.15676506500629325,1.5,1.5,0.002450980392156854,11.990531141963496
