cash_enabled,decay_threshold,recovery_threshold,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.45,0.8,last_1y,2025-05-06,2026-04-30,242,4,32,0.7577479338842975,0.1797520661157025,0.9747696210069654,0.20371969183528676,3.4147716906190313,-0.0718245032646101,13.571546988856952,1.9519095465610734
True,0.45,0.8,last_3y,2023-05-04,2026-04-30,726,11,60,0.665526539940706,0.19434787835927217,0.4351731651208268,0.1996660376127843,1.9161321190498133,-0.12402776997009568,3.5086752364067446,2.9451131770551684
True,0.45,0.8,last_5y,2021-05-06,2026-04-30,1210,17,80,0.776175428096655,0.2164021154453154,0.3258315335993278,0.19304024247522764,1.5633027122747023,-0.17287914287505635,1.8847359385325828,4.0770473266313
True,0.45,0.8,last_10y,2016-05-04,2026-04-30,2428,32,111,0.7888593769191053,0.2355313618493939,0.2719492410569391,0.19819641199029703,1.316954956738717,-0.2589498624837714,1.0502003687064416,11.051232177257575
True,0.45,0.8,full_common,2010-09-29,2026-04-30,3785,50,182,0.7888162732384968,0.23713968113839842,0.28924209645775734,0.21978825590313536,1.2713766953376382,-0.3231903139617508,0.89495905032596,52.412585514514454
True,0.45,0.85,last_1y,2025-05-06,2026-04-30,242,4,32,0.7577479338842975,0.1797520661157025,0.9747696210069654,0.20371969183528676,3.4147716906190313,-0.0718245032646101,13.571546988856952,1.9519095465610734
True,0.45,0.85,last_3y,2023-05-04,2026-04-30,726,11,60,0.665526539940706,0.19434787835927217,0.4351731651208268,0.1996660376127843,1.9161321190498133,-0.12402776997009568,3.5086752364067446,2.9451131770551684
True,0.45,0.85,last_5y,2021-05-06,2026-04-30,1210,17,80,0.776175428096655,0.2164021154453154,0.3258315335993278,0.19304024247522764,1.5633027122747023,-0.17287914287505635,1.8847359385325828,4.0770473266313
True,0.45,0.85,last_10y,2016-05-04,2026-04-30,2428,32,111,0.7888593769191053,0.2355313618493939,0.2719492410569391,0.19819641199029703,1.316954956738717,-0.2589498624837714,1.0502003687064416,11.051232177257575
True,0.45,0.85,full_common,2010-09-29,2026-04-30,3785,50,182,0.7888162732384968,0.23713968113839842,0.28924209645775734,0.21978825590313536,1.2713766953376382,-0.3231903139617508,0.89495905032596,52.412585514514454
True,0.45,0.9,last_1y,2025-05-06,2026-04-30,242,4,32,0.7577479338842975,0.1797520661157025,0.9747696210069654,0.20371969183528676,3.4147716906190313,-0.0718245032646101,13.571546988856952,1.9519095465610734
True,0.45,0.9,last_3y,2023-05-04,2026-04-30,726,11,60,0.665526539940706,0.19434787835927217,0.4351731651208268,0.1996660376127843,1.9161321190498133,-0.12402776997009568,3.5086752364067446,2.9451131770551684
True,0.45,0.9,last_5y,2021-05-06,2026-04-30,1210,17,80,0.776175428096655,0.2164021154453154,0.3258315335993278,0.19304024247522764,1.5633027122747023,-0.17287914287505635,1.8847359385325828,4.0770473266313
True,0.45,0.9,last_10y,2016-05-04,2026-04-30,2428,32,112,0.788241584497359,0.2355313618493939,0.2712942617216445,0.19819214275114055,1.314367798450705,-0.2589498624837706,1.0476710013261643,10.994526263142435
True,0.45,0.9,full_common,2010-09-29,2026-04-30,3785,50,183,0.7884199720495932,0.23713968113839842,0.2888165740888926,0.21978590150217817,1.2698773507650203,-0.3231903139617508,0.893642419379789,52.14364685454733
True,0.45,0.95,last_1y,2025-05-06,2026-04-30,242,4,32,0.7577479338842975,0.1797520661157025,0.9747696210069654,0.20371969183528676,3.4147716906190313,-0.0718245032646101,13.571546988856952,1.9519095465610734
True,0.45,0.95,last_3y,2023-05-04,2026-04-30,726,11,60,0.665526539940706,0.19434787835927217,0.4351731651208268,0.1996660376127843,1.9161321190498133,-0.12402776997009568,3.5086752364067446,2.9451131770551684
True,0.45,0.95,last_5y,2021-05-06,2026-04-30,1210,17,80,0.776175428096655,0.2164021154453154,0.3258315335993278,0.19304024247522764,1.5633027122747023,-0.17287914287505635,1.8847359385325828,4.0770473266313
True,0.45,0.95,last_10y,2016-05-04,2026-04-30,2428,32,112,0.788241584497359,0.2355313618493939,0.2712942617216445,0.19819214275114055,1.314367798450705,-0.2589498624837706,1.0476710013261643,10.994526263142435
True,0.45,0.95,full_common,2010-09-29,2026-04-30,3785,50,183,0.7884199720495932,0.23713968113839842,0.2888165740888926,0.21978590150217817,1.2698773507650203,-0.3231903139617508,0.893642419379789,52.14364685454733
