date,lookback,return,asset_component,cash_component,trade_cost,turnover,holding,previous_holding,target,top_score,nav
2010-09-08,15,0.008190029651818032,0.008190029651818032,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,3.7759074213673083,1.2052518453867238
2010-09-09,15,-0.013985692406738637,-0.013985692406738637,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,2.8722119582234127,1.188395563804491
2010-09-10,15,0.010136690195251319,0.010136690195251319,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,2.4071106421359865,1.2004419614641881
2010-09-13,15,0.016661380525857306,0.016661380525857306,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,2.5732289776705652,1.2204429817833495
2010-09-14,15,0.003099960904951571,0.003099960904951571,0.0,0.0,0.0,1.H00852,1.H00852,1.H00852,2.572937601317818,1.2242263073136004
2010-09-15,15,-0.020996315163731127,-0.01903438393159429,0.0,0.002,2.0,1.H00905,1.H00852,1.H00905,1.5336575951638474,1.1985220659335132
2010-09-16,15,-0.025205575224476418,-0.025205575224476418,0.0,0.0,0.0,1.H00905,1.H00905,1.H00905,0.1979761763374401,1.1683126278424312
2010-09-17,15,-0.001611652266737762,-0.001611652266737762,0.0,0.0,0.0,1.H00905,1.H00905,1.H00905,0.0024916247876759735,1.1664297141475106
2010-09-20,15,-0.011929649437517065,-0.010940590027544661,0.0,0.001,1.0,cash,1.H00905,cash,,1.1525146165642275
2010-09-21,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.1526542436756821
2010-09-27,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.1527938877029573
2010-09-28,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.1529335486481023
2010-09-29,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.1530732265131665
2010-09-30,15,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.1532129213001998
2010-10-08,15,-0.0008789711797676514,0.0,0.0001211499702025165,0.001,1.0,1.H00016,cash,1.H00016,0.04445657482490091,1.1521992803782413
2010-10-11,15,0.03865898803347556,0.03865898803347556,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,1.1271380162116627,1.1967421385705628
2010-10-12,15,0.01201844427673393,0.01201844427673393,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,4.87678185168768,1.2111251172765924
2010-10-13,15,0.016173389773520785,0.016173389773520785,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,13.805308030677022,1.2307131158628077
