pair,pair_cn,direction,start,end,days,segment_return,win
SZ50/ZZ1000,上证50/中证1000,1,2025-12-24,2025-12-24,1,-0.0272084281892216,False
SZ50/ZZ1000,上证50/中证1000,-1,2025-12-25,2026-02-05,29,0.104516539353074,True
SZ50/ZZ1000,上证50/中证1000,1,2026-02-06,2026-03-04,13,-0.0348177677670638,False
SZ50/ZZ1000,上证50/中证1000,-1,2026-03-05,2026-03-17,9,-0.011404956060192,False
SZ50/ZZ1000,上证50/中证1000,1,2026-03-18,2026-04-16,21,-0.0469529052994512,False
SZ50/ZZ1000,上证50/中证1000,-1,2026-04-17,2026-05-07,12,0.0329451070107553,True
SZ50/ZZ500,上证50/中证500,1,2023-05-08,2023-05-26,15,-0.0308469581183603,False
SZ50/ZZ500,上证50/中证500,-1,2023-05-29,2023-06-21,18,0.0083169513208452,True
SZ50/ZZ500,上证50/中证500,1,2023-06-26,2023-07-04,7,-0.0083557514934772,False
SZ50/ZZ500,上证50/中证500,-1,2023-07-05,2023-07-18,10,-0.0010789309869198,False
SZ50/ZZ500,上证50/中证500,1,2023-07-19,2023-07-19,1,0.002347424169925,True
SZ50/ZZ500,上证50/中证500,-1,2023-07-20,2023-07-21,2,-0.0152625915138936,False
SZ50/ZZ500,上证50/中证500,1,2023-07-24,2023-08-23,23,0.0457070690816154,True
SZ50/ZZ500,上证50/中证500,-1,2023-08-24,2023-08-24,1,-0.0087323485792445,False
SZ50/ZZ500,上证50/中证500,1,2023-08-25,2023-09-14,15,0.0126854467707984,True
SZ50/ZZ500,上证50/中证500,-1,2023-09-15,2023-09-25,7,-0.0116634920631973,False
SZ50/ZZ500,上证50/中证500,1,2023-09-26,2023-09-27,2,-0.0103422844804105,False
SZ50/ZZ500,上证50/中证500,-1,2023-09-28,2023-12-22,56,0.0537472116409438,True
SZ50/ZZ500,上证50/中证500,1,2023-12-25,2024-02-23,38,0.131401251981738,True
SZ50/ZZ500,上证50/中证500,-1,2024-02-26,2024-04-09,30,0.0393498195519459,True
SZ50/ZZ500,上证50/中证500,1,2024-04-10,2024-04-18,7,0.0161258224282292,True
