trade_id,strategy,symbol,holding_code,pair,long_leg,short_leg,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
12,Sub-A-DK,DK_T0012,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2015-06-30,2015-07-06,1.0,1.0380134523279496,long,5,False
13,Sub-A-DK,DK_T0013,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2015-07-07,2015-07-07,1.0,1.0313678795355603,long,1,False
14,Sub-A-DK,DK_T0014,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2015-07-09,2015-07-10,1.0,1.017887450346225,long,2,False
15,Sub-A-DK,DK_T0015,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2015-07-14,2015-07-22,1.0,0.9317100335177156,long,7,False
16,Sub-A-DK,DK_T0016,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,2015-07-27,2015-07-27,1.0,0.9954743490281772,long,1,False
17,Sub-A-DK,DK_T0017,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2015-07-28,2015-07-30,1.0,1.0042041827013772,long,3,False
18,Sub-A-DK,DK_T0018,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2015-07-31,2015-08-03,1.0,0.96662438050281,long,2,False
19,Sub-A-DK,DK_T0019,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2015-08-04,2015-08-07,1.0,1.018012005841114,long,4,False
20,Sub-A-DK,DK_T0020,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,2015-08-10,2015-08-20,1.0,1.0236974645701178,long,9,False
21,Sub-A-DK,DK_T0021,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2015-08-21,2015-08-21,1.0,1.0145394738873477,long,1,False
22,Sub-A-DK,DK_T0022,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2015-08-24,2015-08-28,1.0,0.9755441172827746,long,5,False
23,Sub-A-DK,DK_T0023,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2015-08-31,2015-09-01,1.0,0.9901216517936252,long,2,False
24,Sub-A-DK,DK_T0024,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2015-09-02,2015-09-02,1.0,1.011619634484153,long,1,False
25,Sub-A-DK,DK_T0025,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2015-09-08,2015-09-08,1.0,0.9821505328176594,long,1,False
26,Sub-A-DK,DK_T0026,SZ50/ZZ500_1,SZ50/ZZ500,上证50,中证500,2015-09-09,2015-09-23,1.0,1.0068606892107501,long,11,False
27,Sub-A-DK,DK_T0027,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2015-09-24,2015-09-25,1.0,0.9901475780501198,long,2,False
28,Sub-A-DK,DK_T0028,HS300/CYB_-1,HS300/CYB,创业板,沪深300,2015-09-28,2015-10-09,1.0,1.0316304135456695,long,5,False
29,Sub-A-DK,DK_T0029,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2015-10-12,2015-11-02,1.0,1.0252341576744968,long,16,False
30,Sub-A-DK,DK_T0030,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2015-11-18,2015-12-03,1.0,0.9964111867065083,long,12,False
31,Sub-A-DK,DK_T0031,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2015-12-04,2015-12-04,1.0,1.0054905095092617,long,1,False
32,Sub-A-DK,DK_T0032,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,2015-12-07,2015-12-10,1.0,0.9688525742914601,long,4,False
33,Sub-A-DK,DK_T0033,HS300/CYB_1,HS300/CYB,沪深300,创业板,2015-12-11,2015-12-30,1.0,1.0050611203244402,long,14,False
34,Sub-A-DK,DK_T0034,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2015-12-31,2016-01-15,1.0,1.060200240875917,long,11,False
35,Sub-A-DK,DK_T0035,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2016-01-18,2016-02-01,1.0,1.0025101759144512,long,11,False
36,Sub-A-DK,DK_T0036,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,2016-02-03,2016-02-04,1.0,0.9887027075355963,long,2,False
