scope,window,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,22,2016-05-03,2026-04-30,2426,31.83681850197331,13.608215383461818,2.176927039630176,-12.2016124411497,2.6092304320865214,1482.0379287001294,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,22,2021-04-30,2026-04-30,1208,32.396842383845595,16.310296795711064,1.8769349774110335,-12.201612441149711,2.655127962808247,306.72860448843767,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,22,2023-05-04,2026-04-30,723,27.558673342917082,15.511670620063573,1.713678705995921,-12.201612441149745,2.2586091367708003,107.03542543181123,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,24,2010-02-02,2026-04-30,3940,31.055577679174817,11.732485733190336,2.4540095198362177,-12.2016124411497,2.545202761435078,7977.281669509388,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,24,2016-05-03,2026-04-30,2426,31.83681850197331,13.608215383461818,2.176927039630176,-12.2016124411497,2.6092304320865214,1482.0379287001294,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,24,2021-04-30,2026-04-30,1208,32.396842383845595,16.310296795711064,1.8769349774110335,-12.201612441149711,2.655127962808247,306.72860448843767,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,24,2023-05-04,2026-04-30,723,27.558673342917082,15.511670620063573,1.713678705995921,-12.201612441149745,2.2586091367708003,107.03542543181123,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,26,2010-02-02,2026-04-30,3940,31.055577679174817,11.732485733190336,2.4540095198362177,-12.2016124411497,2.545202761435078,7977.281669509388,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,26,2016-05-03,2026-04-30,2426,31.83681850197331,13.608215383461818,2.176927039630176,-12.2016124411497,2.6092304320865214,1482.0379287001294,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,26,2021-04-30,2026-04-30,1208,32.396842383845595,16.310296795711064,1.8769349774110335,-12.201612441149711,2.655127962808247,306.72860448843767,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,26,2023-05-04,2026-04-30,723,27.558673342917082,15.511670620063573,1.713678705995921,-12.201612441149745,2.2586091367708003,107.03542543181123,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,28,2010-02-02,2026-04-30,3940,31.055577679174817,11.732485733190336,2.4540095198362177,-12.2016124411497,2.545202761435078,7977.281669509388,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,28,2016-05-03,2026-04-30,2426,31.83681850197331,13.608215383461818,2.176927039630176,-12.2016124411497,2.6092304320865214,1482.0379287001294,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,28,2021-04-30,2026-04-30,1208,32.396842383845595,16.310296795711064,1.8769349774110335,-12.201612441149711,2.655127962808247,306.72860448843767,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,28,2023-05-04,2026-04-30,723,27.558673342917082,15.511670620063573,1.713678705995921,-12.201612441149745,2.2586091367708003,107.03542543181123,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,30,2010-02-02,2026-04-30,3940,31.055577679174817,11.732485733190336,2.4540095198362177,-12.2016124411497,2.545202761435078,7977.281669509388,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,30,2016-05-03,2026-04-30,2426,31.83681850197331,13.608215383461818,2.176927039630176,-12.2016124411497,2.6092304320865214,1482.0379287001294,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,30,2021-04-30,2026-04-30,1208,32.396842383845595,16.310296795711064,1.8769349774110335,-12.201612441149711,2.655127962808247,306.72860448843767,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,30,2023-05-04,2026-04-30,723,27.558673342917082,15.511670620063573,1.713678705995921,-12.201612441149745,2.2586091367708003,107.03542543181123,0.0,0.0,0.0,0,0.0,0,0.0,0
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,25,2,2010-02-02,2026-04-30,3940,29.060078622190886,11.1910467424295,2.42464301285906,-10.810582096832333,2.6881141424110675,6195.941275488956,-1.995499056983931,-0.02936650697715759,1.3910303443173682,387,9.82233502538071,387,9.82233502538071,284
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,25,2,2016-05-03,2026-04-30,2426,29.862010739577038,12.924202195409501,2.1637943376440254,-10.810582096832377,2.7622944326306857,1260.6104139047923,-1.9748077623962708,-0.013132701986150686,1.3910303443173238,303,12.48969497114592,303,12.48969497114592,216
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,25,2,2021-04-30,2026-04-30,1208,31.151690517177457,15.374926218666845,1.9173129293263826,-10.810582096832356,2.8815923359303026,287.96169919774303,-1.245151866668138,0.0403779519153491,1.3910303443173557,182,15.066225165562914,182,15.066225165562914,114
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,25,2,2023-05-04,2026-04-30,723,26.07756522005287,14.258569865866718,1.7657511971757274,-10.810582096832388,2.4122258160079895,99.93102718540345,-1.4811081228642138,0.05207249117980628,1.3910303443173575,140,19.363762102351316,140,19.363762102351316,86
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,25,4,2010-02-02,2026-04-30,3940,30.30828872745859,11.393125408881861,2.47146436831801,-10.77628791341655,2.8124980485835542,7261.0234431163035,-0.7472889517162287,0.01745484848179224,1.4253245277331512,249,6.319796954314722,249,6.319796954314722,190
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,25,4,2016-05-03,2026-04-30,2426,31.247472379201447,13.1540612004187,2.212065739008271,-10.77628791341655,2.899650847329175,1412.787333009351,-0.589346122771861,0.035138699378094884,1.4253245277331512,200,8.244023083264633,200,8.244023083264633,150
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,25,4,2021-04-30,2026-04-30,1208,32.10987439191526,15.67895424263868,1.9316047058460282,-10.776287913416581,2.979678591543398,302.340380698893,-0.2869679919303323,0.054669728434994624,1.42532452773313,132,10.927152317880795,132,10.927152317880795,86
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,25,4,2023-05-04,2026-04-30,723,27.61858138326989,14.732676508967577,1.7995792871778002,-10.756128556336563,2.5677065162074,107.32626607774031,0.059908040352809167,0.08590058118187915,1.4454838848131821,104,14.384508990318118,104,14.384508990318118,64
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,25,6,2010-02-02,2026-04-30,3940,30.965187790164283,11.53471684961791,2.487856480231094,-10.78516432593537,2.8710909592449583,7887.293264389518,-0.09038988901053457,0.03384696039487611,1.4164481152143313,161,4.086294416243655,161,4.086294416243655,114
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,25,6,2016-05-03,2026-04-30,2426,32.04254555186126,13.345831773601585,2.2291950068903574,-10.78516432593537,2.9709835273263017,1506.8751839547826,0.2057270498879511,0.05226796726018135,1.4164481152143313,130,5.3586150041220115,130,5.3586150041220115,94
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,25,6,2021-04-30,2026-04-30,1208,33.009399309820274,15.956485866579387,1.9451554289775899,-10.785164325935403,3.060630168651357,316.22375966541557,0.6125569259746797,0.06822045156655632,1.4164481152143082,89,7.367549668874172,89,7.367549668874172,54
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,25,6,2023-05-04,2026-04-30,723,29.026371243694538,15.001922245022165,1.8462257376311144,-10.785164325935392,2.691323967488747,114.23929003007709,1.4676979007774555,0.13254703163519332,1.4164481152143527,75,10.37344398340249,75,10.37344398340249,46
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,25,8,2010-02-02,2026-04-30,3940,30.9858669395759,11.627558930003957,2.4703374252164583,-11.296747224099468,2.742901680005146,7907.797174163253,-0.06971073959891783,0.016327905380240537,0.9048652170502329,116,2.9441624365482233,116,2.9441624365482233,68
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,25,8,2016-05-03,2026-04-30,2426,31.998758104208935,13.470391852536906,2.207275846957741,-11.296747224099468,2.8325638760815726,1501.559560379794,0.16193960223562698,0.030348807327564842,0.9048652170502329,93,3.8334707337180545,93,3.8334707337180545,56
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,25,8,2021-04-30,2026-04-30,1208,32.695155498212024,16.143135470565277,1.9092417461495428,-11.29674722409948,2.8942097091862933,311.33081763947325,0.2983131143664295,0.03230676873850924,0.9048652170502312,66,5.4635761589403975,66,5.4635761589403975,28
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,25,8,2023-05-04,2026-04-30,723,28.193611887343593,15.284818930736947,1.7707064581120435,-11.296747224099501,2.4957283125887586,110.13175825962125,0.634938544426511,0.05702775211612243,0.9048652170502436,55,7.607192254495159,55,7.607192254495159,20
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,25,10,2010-02-02,2026-04-30,3940,30.730483049581814,11.674844080579536,2.44342829184806,-11.745114420985225,2.6164481628782656,7658.004218326836,-0.3250946295930035,-0.01058122798815786,0.45649802016447616,78,1.9796954314720812,78,1.9796954314720812,46
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,25,10,2016-05-03,2026-04-30,2426,31.562944843298713,13.535832673473037,2.1718803885717226,-11.745114420985214,2.6873254454553983,1449.509576592624,-0.2738736586745958,-0.005046651058453477,0.4564980201644868,61,2.514427040395713,61,2.514427040395713,36
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,25,10,2021-04-30,2026-04-30,1208,32.25182713061978,16.209957650580233,1.880487151007753,-11.745114420985193,2.7459781126520912,304.5063176509023,-0.14501525322581443,0.0035521735967194434,0.4564980201645188,45,3.7251655629139075,45,3.7251655629139075,18
